=============================================================
Report on testing EasyOCR (2023-01-22 17:25:44.930845):
Accuracy on image num. 423: 95.85%;
Accuracy on image num. 424: 96.54%;
Accuracy on image num. 425: 90.2%;
Accuracy on image num. 426: 88.61%;
Accuracy on image num. 427: 92.01%;
Accuracy on image num. 428: 89.48%;
Accuracy on image num. 429: 90.51%;
Accuracy on image num. 430: 92.99%;
Accuracy on image num. 431: 91.42%;
Accuracy on image num. 432: 95.78%;
Accuracy on image num. 433: 94.21%;
Accuracy on image num. 434: 94.49%;
Accuracy on image num. 435: 88.05%;
Accuracy on image num. 436: 91.59%;
Accuracy on image num. 437: 91.7%;
Accuracy on image num. 438: 55.92%;
Accuracy on image num. 439: 95.58%;
Accuracy on image num. 440: 94.66%;
Accuracy on image num. 441: 86.52%;
Accuracy on image num. 442: 93.23%;
Accuracy on image num. 443: 93.75%;
Accuracy on image num. 444: 89.16%;
Accuracy on image num. 445: 95.83%;
Accuracy on image num. 446: 94.89%;
Accuracy on image num. 447: 93.29%;
Accuracy on image num. 448: 91.34%;
Accuracy on image num. 449: 91.07%;
Accuracy on image num. 450: 90.24%;
Accuracy on image num. 451: 97.16%;
Accuracy on image num. 452: 94.24%;
Accuracy on image num. 453: 91.42%;
Accuracy on image num. 454: 91.0%;
Accuracy on image num. 455: 94.66%;
Accuracy on image num. 456: 92.99%;
Accuracy on image num. 457: 89.91%;
Accuracy on image num. 458: 90.38%;
Accuracy on image num. 459: 91.84%;
Accuracy on image num. 460: 91.85%;
Accuracy on image num. 461: 93.46%;
Accuracy on image num. 462: 80.09%;
Accuracy on image num. 463: 92.48%;
Accuracy on image num. 464: 96.46%;
Accuracy on image num. 465: 86.47%;
Accuracy on image num. 466: 93.77%;
Accuracy on image num. 467: 88.59%;
Accuracy on image num. 468: 94.57%;
Accuracy on image num. 469: 93.12%;
Accuracy on image num. 470: 94.26%;
Accuracy on image num. 471: 85.33%;
Accuracy on image num. 472: 62.89%;
Accuracy on image num. 473: 95.63%;
Accuracy on image num. 474: 94.01%;
Accuracy on image num. 475: 94.56%;
Accuracy on image num. 476: 87.32%;
Accuracy on image num. 477: 86.36%;
Accuracy on image num. 478: 89.73%;
Accuracy on image num. 479: 93.31%;
Accuracy on image num. 480: 80.41%;
Accuracy on image num. 481: 95.5%;
Accuracy on image num. 482: 96.27%;
Accuracy on image num. 483: 94.53%;
Accuracy on image num. 484: 93.88%;
Accuracy on image num. 485: 87.33%;
Empty picture found on image num.486;
Accuracy on image num. 486: 87.33%;
Accuracy on image num. 487: 93.76%;
Accuracy on image num. 488: 92.4%;
Accuracy on image num. 489: 96.19%;
Accuracy on image num. 490: 88.48%;
Accuracy on image num. 491: 92.21%;
Accuracy on image num. 492: 94.03%;
Accuracy on image num. 493: 93.73%;
Accuracy on image num. 494: 95.86%;
Accuracy on image num. 495: 85.2%;
Accuracy on image num. 496: 89.92%;
Accuracy on image num. 497: 93.67%;
Accuracy on image num. 498: 93.76%;
Accuracy on image num. 499: 80.24%;
Accuracy on image num. 500: 88.63%;
Accuracy on image num. 501: 84.1%;
Accuracy on image num. 502: 86.47%;
Accuracy on image num. 503: 95.3%;
Accuracy on image num. 504: 91.5%;
Accuracy on image num. 505: 94.43%;
Accuracy on image num. 506: 89.7%;
Accuracy on image num. 507: 84.71%;
Accuracy on image num. 508: 94.57%;
Accuracy on image num. 509: 93.97%;
Accuracy on image num. 510: 93.75%;
Accuracy on image num. 511: 96.95%;
Accuracy on image num. 512: 94.41%;
Accuracy on image num. 513: 94.18%;
Accuracy on image num. 514: 86.2%;
Accuracy on image num. 515: 95.95%;
